Date,143850.KS,195980.KS,148070.KS,153130.KS
2014-05-12,20850.0,9981.3203125,106885.0,100960.0
2014-05-13,21085.0,10125.0,106890.0,100975.0
2014-05-14,21070.0,10215.0,106845.0,100985.0
2014-05-15,20975.0,10265.0,107460.0,101000.0
2014-05-16,20780.0,10195.0,107355.0,101010.0
2014-05-19,20880.0,10200.0,107385.0,101020.0
2014-05-20,20900.0,10240.0,107380.0,101025.0
2014-05-21,20800.0,10220.0,107545.0,101035.0
2014-05-22,20935.0,10290.0,107325.0,101045.0
2014-05-23,21035.0,10345.0,107410.0,101055.0
2014-05-26,21100.0,10345.0,107540.0,101060.0
2014-05-27,21185.0,10310.0,107600.0,101070.0
2014-05-28,21255.0,10290.0,107675.0,101070.0
2014-05-29,21265.0,10315.0,108000.0,101095.0
2014-05-30,21345.0,10290.0,107905.0,101095.0
2014-06-02,21380.0,10205.0,107745.0,101115.0
2014-06-03,21390.0,10220.0,107710.0,101140.0
2014-06-05,21415.0,10255.0,107545.0,101150.0
2014-06-09,21670.0,10390.0,107660.0,101150.0
2014-06-10,21665.0,10455.0,107925.0,101160.0
2014-06-11,21705.0,10480.0,107870.0,101175.0
2014-06-12,21620.0,10460.0,108215.0,101195.0
2014-06-13,21515.0,10440.0,108310.0,101210.0
2014-06-16,21485.0,10405.0,108330.0,101215.0
2014-06-17,21575.0,10390.0,108385.0,101230.0
2014-06-18,21625.0,10355.0,108405.0,101240.0
2014-06-19,21800.0,10430.0,108805.0,101260.0
2014-06-20,21800.0,10400.0,109100.0,101270.0
2014-06-23,21860.0,10400.0,109175.0,101275.0
2014-06-24,21795.0,10400.0,109290.0,101275.0
2014-06-25,21735.0,10390.0,109170.0,101285.0
2014-06-26,21810.0,10405.0,109270.0,101305.0
2014-06-27,21790.0,10410.0,109550.0,101305.0
2014-06-30,21835.0,10455.0,109660.0,101315.0
2014-07-01,21840.0,10450.0,109650.0,101335.0
2014-07-02,22005.0,10505.0,110255.0,101355.0
2014-07-03,21975.0,10550.0,110240.0,101375.0
2014-07-04,22075.0,10580.0,110115.0,101390.0
2014-07-07,22085.0,10595.0,110090.0,101390.0
2014-07-08,22020.0,10605.0,109905.0,101395.0
2014-07-09,21915.0,10565.0,109815.0,101410.0
2014-07-10,21955.0,10610.0,110435.0,101430.0
2014-07-11,21885.0,10550.0,110545.0,101450.0
2014-07-14,21955.0,10585.0,110530.0,101460.0
2014-07-15,22045.0,10630.0,110490.0,101460.0
2014-07-16,22005.0,10650.0,110855.0,101470.0
2014-07-17,22060.0,10675.0,111485.0,101510.0
2014-07-18,21820.0,10565.0,111505.0,101525.0
2014-07-21,22030.0,10650.0,111265.0,101540.0
2014-07-22,21995.0,10685.0,111300.0,101545.0
2014-07-23,22075.0,10775.0,111450.0,101560.0
2014-07-24,22130.0,10790.0,111225.0,101580.0
2014-07-25,22115.0,10775.0,111065.0,101585.0
2014-07-28,22035.0,10820.0,111235.0,101600.0
2014-07-29,22045.0,10805.0,111005.0,101595.0
2014-07-30,21985.0,10810.0,110945.0,101610.0
2014-07-31,21980.0,10730.0,110760.0,101630.0
2014-08-01,21595.0,10595.0,110465.0,101640.0
2014-08-04,21485.0,10655.0,110500.0,101640.0
2014-08-05,21620.0,10655.0,110610.0,101650.0
2014-08-06,21410.0,10585.0,110495.0,101655.0
